player_id,source_file,output_file,site_file,source_size_bytes,output_size_bytes,compression_ratio,width,height,status,error
1630573,D:\nba\headshot\1630573.png,D:\nba\headshot(webp)\1630573.webp,D:\nba\salary_scatter_site\assets\headshots\1630573.webp,43358,4306,0.0993,120,120,skipped_existing,
1630572,D:\nba\headshot\1630572.png,D:\nba\headshot(webp)\1630572.webp,D:\nba\salary_scatter_site\assets\headshots\1630572.webp,41753,4614,0.1105,120,120,skipped_existing,
1629675,D:\nba\headshot\1629675.png,D:\nba\headshot(webp)\1629675.webp,D:\nba\salary_scatter_site\assets\headshots\1629675.webp,53314,4520,0.0848,120,120,skipped_existing,
1630529,D:\nba\headshot\1630529.png,D:\nba\headshot(webp)\1630529.webp,D:\nba\salary_scatter_site\assets\headshots\1630529.webp,46062,4374,0.095,120,120,skipped_existing,
1642345,D:\nba\headshot\1642345.png,D:\nba\headshot(webp)\1642345.webp,D:\nba\salary_scatter_site\assets\headshots\1642345.webp,44216,4606,0.1042,120,120,skipped_existing,
1627751,D:\nba\headshot\1627751.png,D:\nba\headshot(webp)\1627751.webp,D:\nba\salary_scatter_site\assets\headshots\1627751.webp,41399,4674,0.1129,120,120,skipped_existing,
1642263,D:\nba\headshot\1642263.png,D:\nba\headshot(webp)\1642263.webp,D:\nba\salary_scatter_site\assets\headshots\1642263.webp,42125,3840,0.0912,120,120,skipped_existing,
1627739,D:\nba\headshot\1627739.png,D:\nba\headshot(webp)\1627739.webp,D:\nba\salary_scatter_site\assets\headshots\1627739.webp,49070,5342,0.1089,120,120,skipped_existing,
1630611,D:\nba\headshot\1630611.png,D:\nba\headshot(webp)\1630611.webp,D:\nba\salary_scatter_site\assets\headshots\1630611.webp,56434,5960,0.1056,120,120,skipped_existing,
204001,D:\nba\headshot\204001.png,D:\nba\headshot(webp)\204001.webp,D:\nba\salary_scatter_site\assets\headshots\204001.webp,52020,5802,0.1115,120,120,skipped_existing,
1627742,D:\nba\headshot\1627742.png,D:\nba\headshot(webp)\1627742.webp,D:\nba\salary_scatter_site\assets\headshots\1627742.webp,43562,5084,0.1167,120,120,skipped_existing,
1627884,D:\nba\headshot\1627884.png,D:\nba\headshot(webp)\1627884.webp,D:\nba\salary_scatter_site\assets\headshots\1627884.webp,50995,5700,0.1118,120,120,skipped_existing,
1630581,D:\nba\headshot\1630581.png,D:\nba\headshot(webp)\1630581.webp,D:\nba\salary_scatter_site\assets\headshots\1630581.webp,47370,4456,0.0941,120,120,skipped_existing,
1630558,D:\nba\headshot\1630558.png,D:\nba\headshot(webp)\1630558.webp,D:\nba\salary_scatter_site\assets\headshots\1630558.webp,47322,4176,0.0882,120,120,skipped_existing,
1629645,D:\nba\headshot\1629645.png,D:\nba\headshot(webp)\1629645.webp,D:\nba\salary_scatter_site\assets\headshots\1629645.webp,48597,4576,0.0942,120,120,skipped_existing,
1629639,D:\nba\headshot\1629639.png,D:\nba\headshot(webp)\1629639.webp,D:\nba\salary_scatter_site\assets\headshots\1629639.webp,45954,4544,0.0989,120,120,skipped_existing,
1631128,D:\nba\headshot\1631128.png,D:\nba\headshot(webp)\1631128.webp,D:\nba\salary_scatter_site\assets\headshots\1631128.webp,49000,5768,0.1177,120,120,skipped_existing,
